,Title_New,city,state,company,ann_sal,stars,reviews
6,data scientist,Raleigh,NC,Veredus,110000.0,43.8,5.0
9,scientist,Research Triangle Park,NC,Hunter International,68000.0,54.0,13.0
13,senior data scientist,Research Triangle Park,NC,All-In Analytics,150000.0,,
22,senior data scientist,Morrisville,NC,JBCconnect,160000.0,,
26,data other,Research Triangle Park,NC,Oak Ridge Associated Universities,41300.0,43.2,15.0
51,data other,Wake County,NC,North Carolina Office of State Human Resources,16500.0,,
53,data other,Research Triangle Park,NC,Oak Ridge Associated Universities,41300.0,43.2,15.0
69,misc,Raleigh,NC,North Carolina State University,42389.0,52.199997,419.0
72,data other,Wake County,NC,State of North Carolina,16500.0,43.2,91.0
77,misc,Wake County,NC,State of North Carolina,16500.0,43.2,91.0
82,misc,Raleigh-Durham,NC,InVentiv Health Clinical,90000.0,,
94,misc,Durham,NC,On-Board Services,62000.0,40.8,6.0
105,scientist,Raleigh-Durham,NC,New Hope Urgent Care,50000.0,,
